,AGCNr,DECdeg_OC,RAdeg_OC,X,Y,name_g,name_r
12,5284,4.27306,147.74625,771.4568265,664.3012469,fpC-002126-g4-0191.fit,fpC-002126-r4-0191.fit
313,204096,4.68972,155.00458,1382.371359,1223.538318,fpC-002126-g4-0239.fit,fpC-002126-r4-0239.fit
403,217459,5.04056,166.02333,969.5166552,363.8487287,fpC-002126-g4-0313.fit,fpC-002126-r4-0313.fit
467,223219,5.35361,183.45999,1372.399564,361.4753925,fpC-002126-g4-0429.fit,fpC-002126-r4-0429.fit
309,203860,5.00611,151.46375,1911.96273,616.6903726,fpC-002126-g5-0216.fit,fpC-002126-r5-0216.fit
338,207036,5.39333,164.68291,716.2865889,576.9987233,fpC-002126-g5-0304.fit,fpC-002126-r5-0304.fit
408,219201,5.52472,170.63083,511.8798288,1337.499254,fpC-002126-g5-0343.fit,fpC-002126-r5-0343.fit
409,219203,5.61722,171.87042,1120.011378,319.1114731,fpC-002126-g5-0352.fit,fpC-002126-r5-0352.fit
413,219232,5.85028,165.8725,734.8860179,569.6170794,fpC-002126-g6-0312.fit,fpC-002126-r6-0312.fit
498,225072,6.04389,180.57625,134.514618,163.4762307,fpC-002126-g6-0410.fit,fpC-002126-r6-0410.fit
479,223805,4.02,187.85541,785.117015,1353.141074,fpC-002190-g1-0039.fit,fpC-002190-r1-0039.fit
487,224304,4.3925,192.35709,671.3215633,1314.901149,fpC-002190-g2-0069.fit,fpC-002190-r2-0069.fit
514,226122,4.4575,193.06418,1336.882282,911.5295428,fpC-002190-g2-0074.fit,fpC-002190-r2-0074.fit
603,233852,4.46944,195.35417,1735.069756,1247.81916,fpC-002190-g2-0089.fit,fpC-002190-r2-0089.fit
625,238704,4.14722,206.04375,1088.603981,201.2954121,fpC-002190-g2-0161.fit,fpC-002190-r2-0161.fit
669,242684,3.81278,213.20667,407.2281437,1262.82752,fpC-002190-g2-0208.fit,fpC-002190-r2-0208.fit
536,227974,4.86694,194.01457,1356.790905,1308.602872,fpC-002190-g3-0080.fit,fpC-002190-r3-0080.fit
558,232871,4.74167,199.10124,1022.380851,1126.214764,fpC-002190-g3-0114.fit,fpC-002190-r3-0114.fit
620,238693,4.67583,201.70917,970.7425209,263.6240175,fpC-002190-g3-0132.fit,fpC-002190-r3-0132.fit
743,249256,4.17139,215.18916,614.2694742,1394.498582,fpC-002190-g3-0221.fit,fpC-002190-r3-0221.fit
556,232735,5.24306,197.27707,1435.288669,850.9973052,fpC-002190-g4-0102.fit,fpC-002190-r4-0102.fit
557,232746,5.18306,198.02625,1019.505313,837.7485299,fpC-002190-g4-0107.fit,fpC-002190-r4-0107.fit
457,220939,5.73944,190.5775,1313.951681,1414.192871,fpC-002190-g5-0057.fit,fpC-002190-r5-0057.fit
486,224296,5.76528,190.845,1569.73335,1109.510443,fpC-002190-g5-0059.fit,fpC-002190-r5-0059.fit
615,238687,5.63306,197.2579,1162.542783,612.1564339,fpC-002190-g5-0102.fit,fpC-002190-r5-0102.fit
618,238691,5.54333,201.32333,1138.064794,659.126973,fpC-002190-g5-0129.fit,fpC-002190-r5-0129.fit
745,249264,4.60472,223.18001,461.5214507,1411.171568,fpC-002190-g5-0274.fit,fpC-002190-r5-0274.fit
529,227895,6.04972,188.38834,182.1435511,651.8005508,fpC-002190-g6-0043.fit,fpC-002190-r6-0043.fit
530,227896,6.08944,191.0871,719.263832,551.2210394,fpC-002190-g6-0061.fit,fpC-002190-r6-0061.fit
633,238754,5.86528,201.17041,212.9672948,566.800098,fpC-002190-g6-0128.fit,fpC-002190-r6-0128.fit
623,238697,5.87833,203.43333,862.3049878,609.4832408,fpC-002190-g6-0143.fit,fpC-002190-r6-0143.fit
454,220780,3.79389,188.37334,648.4319403,855.0187437,fpC-002247-g1-0184.fit,fpC-002247-r1-0184.fit
50,8055,3.81278,194.01875,1300.547462,352.7823748,fpC-002247-g1-0222.fit,fpC-002247-r1-0222.fit
371,214276,4.08028,169.14375,1080.191588,667.8244814,fpC-002247-g2-0056.fit,fpC-002247-r2-0056.fit
374,214358,4.165,177.23041,542.1058732,510.9245379,fpC-002247-g2-0110.fit,fpC-002247-r2-0110.fit
500,225297,4.17222,191.12042,451.1169605,1251.804159,fpC-002247-g2-0202.fit,fpC-002247-r2-0202.fit
616,238689,4.05944,199.37209,583.6108642,1231.725463,fpC-002247-g2-0257.fit,fpC-002247-r2-0257.fit
499,225257,4.65833,183.19458,821.2205861,165.7554352,fpC-002247-g3-0150.fit,fpC-002247-r3-0150.fit
452,220762,4.57806,188.24001,141.7242372,973.792456,fpC-002247-g3-0183.fit,fpC-002247-r3-0183.fit
559,232879,4.52167,199.48502,993.4686752,802.7668768,fpC-002247-g3-0258.fit,fpC-002247-r3-0258.fit
617,238690,4.42389,200.17625,244.5263092,280.8947246,fpC-002247-g3-0263.fit,fpC-002247-r3-0263.fit
560,232892,4.51556,200.91791,1234.940421,176.5508957,fpC-002247-g3-0268.fit,fpC-002247-r3-0268.fit
562,232903,4.44583,203.26791,1146.227775,1068.812533,fpC-002247-g3-0283.fit,fpC-002247-r3-0283.fit
627,238708,4.25417,207.64499,612.563699,1311.167636,fpC-002247-g3-0312.fit,fpC-002247-r3-0312.fit
545,231980,4.24444,208.63959,832.688849,798.8207181,fpC-002247-g3-0319.fit,fpC-002247-r3-0319.fit
407,219198,4.87583,169,713.1271749,900.0112244,fpC-002247-g4-0055.fit,fpC-002247-r4-0055.fit
367,214098,5.07361,173.50209,1666.163833,874.052022,fpC-002247-g4-0085.fit,fpC-002247-r4-0085.fit
412,219212,5.01528,178.62207,508.5085449,955.4890739,fpC-002247-g4-0119.fit,fpC-002247-r4-0119.fit
434,220304,5.02778,184.47041,344.0041032,840.9390406,fpC-002247-g4-0158.fit,fpC-002247-r4-0158.fit
480,223819,5.17222,187.97458,1716.736846,1265.99523,fpC-002247-g4-0181.fit,fpC-002247-r4-0181.fit
537,227975,4.99139,194.32541,607.6358604,263.8896219,fpC-002247-g4-0224.fit,fpC-002247-r4-0224.fit
561,232898,4.84417,202.26251,708.6570236,1393.34254,fpC-002247-g4-0276.fit,fpC-002247-r4-0276.fit
624,238703,4.84611,205.40375,1526.577436,1254.607132,fpC-002247-g4-0297.fit,fpC-002247-r4-0297.fit
366,214042,5.31806,168.59792,1007.497345,80.02980862,fpC-002247-g5-0053.fit,fpC-002247-r5-0053.fit
410,219206,5.4325,173.78542,1070.297642,772.9337063,fpC-002247-g5-0087.fit,fpC-002247-r5-0087.fit
411,219209,5.53139,177.95502,1447.514935,408.6598436,fpC-002247-g5-0115.fit,fpC-002247-r5-0115.fit
535,227965,5.43694,186.56168,265.0627749,717.1690078,fpC-002247-g5-0172.fit,fpC-002247-r5-0172.fit
614,238684,5.38639,195.47333,540.2931242,1075.649064,fpC-002247-g5-0231.fit,fpC-002247-r5-0231.fit
54,8276,5.47556,198.02625,1760.097202,1025.122204,fpC-002247-g5-0248.fit,fpC-002247-r5-0248.fit
621,238694,5.40778,201.78333,1905.892513,1008.096877,fpC-002247-g5-0273.fit,fpC-002247-r5-0273.fit
564,233560,5.11833,208.24583,1019.321061,1041.129534,fpC-002247-g5-0316.fit,fpC-002247-r5-0316.fit
368,214132,5.83361,178.52834,325.4139734,180.6898919,fpC-002247-g6-0119.fit,fpC-002247-r6-0119.fit
439,220352,5.98583,184.80708,1421.576551,1171.412864,fpC-002247-g6-0160.fit,fpC-002247-r6-0160.fit
443,220460,6.01444,185.66042,1684.446317,721.6260369,fpC-002247-g6-0166.fit,fpC-002247-r6-0166.fit
481,223873,5.95278,188.50626,1205.303798,599.1040646,fpC-002247-g6-0185.fit,fpC-002247-r6-0185.fit
619,238692,5.74361,201.65417,1111.926388,1125.292128,fpC-002247-g6-0272.fit,fpC-002247-r6-0272.fit
626,238705,5.61806,206.31917,1167.250748,1154.726335,fpC-002247-g6-0303.fit,fpC-002247-r6-0303.fit
551,232235,5.57611,207.16833,1034.11056,681.2810372,fpC-002247-g6-0309.fit,fpC-002247-r6-0309.fit
62,9063,5.57611,212.57834,1714.726904,804.8062826,fpC-002391-g1-0037.fit,fpC-002391-r1-0037.fit
680,243982,5.85833,213.01334,699.2556498,495.9751448,fpC-002391-g2-0040.fit,fpC-002391-r2-0040.fit
803,258300,4.54917,230.46169,1120.819101,1050.4718,fpC-002391-g2-0156.fit,fpC-002391-r2-0156.fit
687,244402,5.98528,217.3125,586.569523,1108.215964,fpC-002391-g3-0068.fit,fpC-002391-r3-0068.fit
798,258263,5.44806,225.41624,1386.249027,1081.69071,fpC-002391-g3-0122.fit,fpC-002391-r3-0122.fit
807,258342,4.30722,237.46042,1359.672675,434.9016734,fpC-002391-g3-0203.fit,fpC-002391-r3-0203.fit
747,249302,6.20167,220.30917,701.0596535,764.1969844,fpC-002391-g4-0088.fit,fpC-002391-r4-0088.fit
804,258317,5.14583,232.63916,760.9619145,1120.901987,fpC-002391-g4-0170.fit,fpC-002391-r4-0170.fit
683,244102,6.97111,214.57501,240.9571152,332.5602184,fpC-002391-g5-0050.fit,fpC-002391-r5-0050.fit
809,258366,6.03194,227.64375,787.9446417,282.7899061,fpC-002391-g5-0137.fit,fpC-002391-r5-0137.fit
1006,748763,13.83778,350.88208,1107.538813,1062.390298,fpC-002566-g2-0249.fit,fpC-002566-r2-0249.fit
868,332640,13.81,351.17709,692.6943589,924.1662562,fpC-002566-g2-0251.fit,fpC-002566-r2-0251.fit
871,332844,14.23389,357.84918,1771.096704,1366.158443,fpC-002566-g2-0294.fit,fpC-002566-r2-0294.fit
1003,748738,14.01805,346.21667,1944.086313,955.591909,fpC-002566-g3-0219.fit,fpC-002566-r3-0219.fit
872,332861,14.58528,358.26498,1036.27834,1041.71805,fpC-002566-g3-0297.fit,fpC-002566-r3-0297.fit
867,332431,14.37611,346.94083,851.1970192,776.7608398,fpC-002566-g4-0224.fit,fpC-002566-r4-0224.fit
1004,748744,14.36611,347.31833,496.5859857,1361.642203,fpC-002566-g4-0226.fit,fpC-002566-r4-0226.fit
1011,748770,14.81333,351.86877,1801.158601,748.4856783,fpC-002566-g4-0256.fit,fpC-002566-r4-0256.fit
1012,748777,15.04445,0.79583,845.1897579,242.2129714,fpC-002566-g4-0314.fit,fpC-002566-r4-0314.fit
83,101986,15.05361,5.20292,578.1561622,822.1430288,fpC-002566-g4-0342.fit,fpC-002566-r4-0342.fit
1015,748786,15.13917,5.775,1366.970826,397.1298307,fpC-002566-g4-0346.fit,fpC-002566-r4-0346.fit
79,101191,15.0675,5.91375,719.9662392,256.9014092,fpC-002566-g4-0347.fit,fpC-002566-r4-0347.fit
1010,748769,15.07806,351.55872,551.5964034,894.780251,fpC-002566-g5-0254.fit,fpC-002566-r5-0254.fit
873,332879,15.46,359.18289,1127.358945,1154.315432,fpC-002566-g5-0303.fit,fpC-002566-r5-0303.fit
1013,748778,15.51083,1.64292,1143.08515,935.5317467,fpC-002566-g5-0319.fit,fpC-002566-r5-0319.fit
82,101942,15.55611,3.12,1401.537497,266.9849086,fpC-002566-g5-0329.fit,fpC-002566-r5-0329.fit
870,332786,15.74389,354.03583,1590.754315,1126.755903,fpC-002566-g6-0270.fit,fpC-002566-r6-0270.fit
1016,748788,15.99389,6.04042,1515.670722,1326.678861,fpC-002566-g6-0347.fit,fpC-002566-r6-0347.fit
130,171585,27.15917,113.66291,837.4284653,406.3783728,fpC-002822-g4-0035.fit,fpC-002822-r4-0035.fit
134,172071,26.64278,118.67542,1579.790726,823.3753219,fpC-002830-g2-0053.fit,fpC-002830-r2-0053.fit
136,172086,26.83778,118.84,1828.184282,307.3491847,fpC-002830-g2-0055.fit,fpC-002830-r2-0055.fit
131,171643,24.165,114.87791,1689.837262,1259.132194,fpC-002830-g4-0025.fit,fpC-002830-r4-0025.fit
132,171782,26.35528,116.67833,249.7995481,95.99098336,fpC-002830-g5-0044.fit,fpC-002830-r5-0044.fit
1041,749256,27.03444,118.18083,1214.738498,836.9417229,fpC-002864-g3-0061.fit,fpC-002864-r3-0061.fit
135,172073,24.74889,118.69417,345.2390569,544.4563141,fpC-002888-g2-0058.fit,fpC-002888-r2-0058.fit
163,182924,27.41167,121.88334,1674.604771,1295.675433,fpC-002961-g2-0047.fit,fpC-002961-r2-0047.fit
1079,749376,25.83056,119.53709,621.7132328,714.368157,fpC-002961-g3-0030.fit,fpC-002961-r3-0030.fit
133,171838,24.98583,117.30167,434.0785595,1314.834027,fpC-002961-g5-0016.fit,fpC-002961-r5-0016.fit
1042,749260,26.93028,119.45084,649.047309,376.2006409,fpC-002961-g5-0035.fit,fpC-002961-r5-0035.fit
346,208395,5.63278,158.61916,1590.408394,481.5807235,fpC-002986-g1-0267.fit,fpC-002986-r1-0267.fit
310,203874,5.72194,153.10957,1751.557338,1146.429036,fpC-002986-g2-0230.fit,fpC-002986-r2-0230.fit
339,208307,5.95611,158.30333,875.0524094,524.4167098,fpC-002986-g2-0265.fit,fpC-002986-r2-0265.fit
308,203854,5.87056,150.75917,797.5277121,453.3286957,fpC-002986-g3-0215.fit,fpC-002986-r3-0215.fit
306,203647,5.99722,153.41499,244.8243511,1353.13834,fpC-002986-g3-0232.fit,fpC-002986-r3-0232.fit
190,188957,3.89722,125.92083,317.914473,726.8339193,fpC-002986-g4-0049.fit,fpC-002986-r4-0049.fit
882,715606,5.93667,146.03793,902.9777523,127.7640668,fpC-002986-g4-0184.fit,fpC-002986-r4-0184.fit
191,188963,4.94556,131.59042,402.5979229,1128.057329,fpC-002986-g5-0087.fit,fpC-002986-r5-0087.fit
349,208435,6.89611,153.44833,747.0843147,851.4378012,fpC-002986-g5-0233.fit,fpC-002986-r5-0233.fit
305,203581,7.56083,163.08209,1680.149672,835.3617791,fpC-002986-g5-0297.fit,fpC-002986-r5-0297.fit
348,208434,7.13528,151.51959,318.8183117,1336.118628,fpC-002986-g6-0220.fit,fpC-002986-r6-0220.fit
333,205347,7.22583,151.54501,1123.209016,262.9730318,fpC-002986-g6-0221.fit,fpC-002986-r6-0221.fit
303,203521,7.59833,158.22041,561.3937622,656.3203424,fpC-002986-g6-0265.fit,fpC-002986-r6-0265.fit
274,202040,8.04833,165.75792,1183.553447,617.4259287,fpC-002986-g6-0315.fit,fpC-002986-r6-0315.fit
230,193813,4.89,145.71208,1197.214724,194.2370604,fpC-003015-g1-0211.fit,fpC-003015-r1-0211.fit
365,213932,6.74194,170.63083,1006.682911,224.4790081,fpC-003015-g2-0377.fit,fpC-003015-r2-0377.fit
401,215630,6.95972,177.39375,1467.56486,1411.966613,fpC-003015-g2-0421.fit,fpC-003015-r2-0421.fit
415,219238,7.03889,169.22041,322.5957277,1204.982164,fpC-003015-g3-0367.fit,fpC-003015-r3-0367.fit
363,213828,7.28778,172.25958,1702.893225,95.04287228,fpC-003015-g3-0388.fit,fpC-003015-r3-0388.fit
417,219244,7.29278,173.14583,1525.906424,1279.53717,fpC-003015-g3-0393.fit,fpC-003015-r3-0393.fit
418,219245,7.25806,177.19542,396.9495768,1032.616679,fpC-003015-g3-0420.fit,fpC-003015-r3-0420.fit
420,219247,7.4,177.77626,1597.704837,847.5306127,fpC-003015-g3-0424.fit,fpC-003015-r3-0424.fit
220,192739,6.08806,144.82623,1273.574931,1285.328836,fpC-003015-g4-0205.fit,fpC-003015-r4-0205.fit
271,201993,6.80417,153.99792,1475.480272,1371.48896,fpC-003015-g4-0266.fit,fpC-003015-r4-0266.fit
307,203667,6.80278,155.0575,829.898592,1387.78649,fpC-003015-g4-0273.fit,fpC-003015-r4-0273.fit
302,203515,7.02556,157.79958,1306.438203,353.7853169,fpC-003015-g4-0292.fit,fpC-003015-r4-0292.fit
304,203527,7.03167,158.66167,904.3872809,1316.628221,fpC-003015-g4-0297.fit,fpC-003015-r4-0297.fit
318,205078,7.03778,160.35875,99.85101265,275.4484417,fpC-003015-g4-0309.fit,fpC-003015-r4-0309.fit
421,219253,7.32139,165.91125,240.3229666,1425.106434,fpC-003015-g4-0345.fit,fpC-003015-r4-0345.fit
497,225041,7.81417,180.77209,1195.079491,667.7641502,fpC-003015-g4-0444.fit,fpC-003015-r4-0444.fit
18,5999,7.61972,163.24583,230.3451112,686.1629789,fpC-003015-g5-0328.fit,fpC-003015-r5-0328.fit
341,208313,7.7475,164.64667,798.2961732,1098.260701,fpC-003015-g5-0337.fit,fpC-003015-r5-0337.fit
300,203364,7.99889,161.18877,791.8899292,1410.554251,fpC-003015-g6-0314.fit,fpC-003015-r6-0314.fit
284,202237,8.14944,164.40083,732.3459604,415.9568481,fpC-003015-g6-0336.fit,fpC-003015-r6-0336.fit
405,219128,8.43722,173.18585,469.3479185,559.9635507,fpC-003015-g6-0394.fit,fpC-003015-r6-0394.fit
20,6130,8.36833,166.03708,1549.90882,713.3795847,fpC-003031-g1-0306.fit,fpC-003031-r1-0306.fit
399,215425,8.70667,176.75543,692.6041376,503.1777055,fpC-003031-g1-0377.fit,fpC-003031-r1-0377.fit
400,215428,8.87111,179.90541,1616.179424,252.1937943,fpC-003031-g1-0398.fit,fpC-003031-r1-0398.fit
433,220299,8.81667,184.42252,772.5846691,1360.474202,fpC-003031-g1-0427.fit,fpC-003031-r1-0427.fit
462,222021,8.81694,187.23125,838.65464,737.7962999,fpC-003031-g1-0446.fit,fpC-003031-r1-0446.fit
221,192776,5.86806,136.30208,765.1239544,1040.395826,fpC-003031-g2-0108.fit,fpC-003031-r2-0108.fit
11,4797,5.9275,137.04416,430.659313,960.0396585,fpC-003031-g2-0113.fit,fpC-003031-r2-0113.fit
219,192735,6.92444,144.50291,1271.70909,899.0757332,fpC-003031-g2-0163.fit,fpC-003031-r2-0163.fit
268,198456,7.13528,146.67667,1014.432937,191.0999453,fpC-003031-g2-0178.fit,fpC-003031-r2-0178.fit
344,208368,8.60806,164.85625,526.4157882,1129.314374,fpC-003031-g2-0298.fit,fpC-003031-r2-0298.fit
27,6717,9.2125,176.19083,1603.06543,997.8387032,fpC-003031-g2-0373.fit,fpC-003031-r2-0373.fit
491,224402,9.20889,181.95834,642.9636406,1030.074893,fpC-003031-g2-0411.fit,fpC-003031-r2-0411.fit
446,220509,9.23556,186.04208,774.5942473,930.8248298,fpC-003031-g2-0438.fit,fpC-003031-r2-0438.fit
451,220609,9.34111,186.87541,1767.149146,236.8107227,fpC-003031-g2-0444.fit,fpC-003031-r2-0444.fit
453,220767,9.25333,188.29042,1068.363994,688.8765892,fpC-003031-g2-0453.fit,fpC-003031-r2-0453.fit
455,220812,9.18611,188.75374,501.9342224,770.0077003,fpC-003031-g2-0456.fit,fpC-003031-r2-0456.fit
525,227878,9.10333,192.39,300.5318567,753.104616,fpC-003031-g2-0480.fit,fpC-003031-r2-0480.fit
595,233781,9.03778,195.00917,322.6083949,1137.740896,fpC-003031-g2-0497.fit,fpC-003031-r2-0497.fit
218,192669,6.47306,136.82375,1792.368304,986.5832197,fpC-003031-g3-0112.fit,fpC-003031-r3-0112.fit
266,198453,7.04917,141.32458,1921.524805,1126.381695,fpC-003031-g3-0142.fit,fpC-003031-r3-0142.fit
199,191818,7.78972,148.25917,1607.873096,1396.728524,fpC-003031-g3-0188.fit,fpC-003031-r3-0188.fit
281,202210,8.51694,156.1479,1518.199351,562.2768204,fpC-003031-g3-0241.fit,fpC-003031-r3-0241.fit
476,223471,9.62083,185.35376,449.7766175,194.8000329,fpC-003031-g3-0434.fit,fpC-003031-r3-0434.fit
493,224454,9.60806,186.92458,382.8655928,664.4736755,fpC-003031-g3-0444.fit,fpC-003031-r3-0444.fit
520,226152,9.58028,192.51834,847.0529168,445.6171553,fpC-003031-g3-0481.fit,fpC-003031-r3-0481.fit
532,227936,9.59417,193.22417,1123.613291,1324.081088,fpC-003031-g3-0485.fit,fpC-003031-r3-0485.fit
267,198454,7.54361,142.04707,1792.898,1325.112911,fpC-003031-g4-0147.fit,fpC-003031-r4-0147.fit
280,202201,8.59361,153.38416,569.1445349,370.8219614,fpC-003031-g4-0223.fit,fpC-003031-r4-0223.fit
283,202230,9.27472,160.03667,1826.057477,536.8392696,fpC-003031-g4-0267.fit,fpC-003031-r4-0267.fit
343,208364,9.41917,164.17084,631.1568114,878.4900321,fpC-003031-g4-0294.fit,fpC-003031-r4-0294.fit
488,224335,10.01694,181.09792,440.4377989,201.24176,fpC-003031-g4-0406.fit,fpC-003031-r4-0406.fit
40,7307,10.005,184.26834,132.6150687,1362.221474,fpC-003031-g4-0426.fit,fpC-003031-r4-0426.fit
489,224354,10.18056,185.50041,1724.461157,140.1253996,fpC-003031-g4-0435.fit,fpC-003031-r4-0435.fit
336,207024,8.7825,151.24542,266.8301235,449.4790663,fpC-003031-g5-0209.fit,fpC-003031-r5-0209.fit
299,203174,9.18389,154.82333,946.5054844,113.4900998,fpC-003031-g5-0233.fit,fpC-003031-r5-0233.fit
342,208359,9.82667,163.78625,729.2217675,390.1920087,fpC-003031-g5-0292.fit,fpC-003031-r5-0292.fit
388,215239,10.15667,167.265,1920.943771,355.3789695,fpC-003031-g5-0315.fit,fpC-003031-r5-0315.fit
350,210111,10.12611,167.60458,1484.338199,653.8064067,fpC-003031-g5-0317.fit,fpC-003031-r5-0317.fit
21,6248,10.2,168.21542,1876.097235,703.3266851,fpC-003031-g5-0321.fit,fpC-003031-r5-0321.fit
516,226131,10.62583,185.30501,1955.710443,1109.846344,fpC-003031-g5-0433.fit,fpC-003031-r5-0433.fit
517,226136,10.48444,188.10251,799.7401415,258.9036825,fpC-003031-g5-0452.fit,fpC-003031-r5-0452.fit
332,205336,10.16945,160.68208,1888.541002,88.96873618,fpC-003031-g6-0272.fit,fpC-003031-r6-0272.fit
